method,degradation,sample_count,view_count,cosine_mean,cosine_std,cosine_ci_low,cosine_ci_high,margin_mean,margin_std,margin_ci_low,margin_ci_high,delta_cosine_mean,delta_cosine_std,delta_cosine_ci_low,delta_cosine_ci_high,recovery_ratio_mean,recovery_ratio_std,recovery_ratio_ci_low,recovery_ratio_ci_high
FFANet,lowlight,256,256,0.9745216148439795,0.07697868108425412,0.9640603445819579,0.9831984487536829,-0.013909030705690384,0.05804492837902506,-0.02151492190314457,-0.00710478165128734,0.05279891658574343,0.11708533634829116,0.0387304411851801,0.0674348516477039,0.014684266264584023,4.550472812836117,-0.6317471801152075,0.49058740816701174
FFANet,noise,256,256,0.9955992726609111,0.012604424326401199,0.9939547128218692,0.9969100717629772,0.003961895825341344,0.017484976932646893,0.0018911295570433141,0.005933444428956136,0.026687737088650465,0.04124354014643773,0.021802608243888244,0.03192491377121768,0.6139503521231107,1.2159993027724771,0.45138541394107823,0.7404590918760567
FFANet,rain,256,256,0.9839975762879476,0.06593907680293097,0.97539083394513,0.9911282954504713,-0.005875156843103468,0.06418893091970082,-0.014254315366270021,0.0010445765045005828,-0.006398705649189651,0.053864452214150566,-0.01366314149054233,-0.0009432986495085077,-4.567582684146991,23.317000930908566,-7.7272530388226865,-2.137417389732178
FFANet,snow,256,256,0.8601025228781509,0.30400868858841945,0.8229267828639422,0.8928834083713809,-0.12337060785648646,0.29505113578312536,-0.1598455504125013,-0.09129707040428917,0.24364516825698956,0.4220452187891296,0.1933750607793172,0.29670369398518226,0.2694027565919939,1.3768180854339198,0.08713674192438993,0.4290101827657797
FFANet,average,256,1792,0.9549748356169272,0.07015184487001798,0.9467490567523262,0.9631834966314272,-0.03258341300222258,0.058883067992527446,-0.039697550399848416,-0.025725576204552326,0.07111200192619954,0.08337396202265428,0.06065034664737661,0.08189856502202539,0.5712282307251754,0.9667177530078278,0.44106470883295557,0.6774171341443188
Uformer,blur,256,256,0.947948137356434,0.18455547958866478,0.9231109936255961,0.9680575384700205,-0.039506534289103,0.17397532741539287,-0.0635788333020173,-0.02029864764772356,-0.043447213422041386,0.1837408204465632,-0.06830975014454452,-0.02341977497271728,-69.1333685132197,397.58617035193294,-121.58828813583682,-27.206846633158527
Uformer,haze,256,256,0.8799208014679607,0.2824911303324283,0.8441876940796647,0.9124203264324023,-0.10372705446206965,0.26945289172316844,-0.1381488061262644,-0.07314314102004574,0.08412915576263913,0.4042191316595084,0.03420323584259677,0.13549295536222414,-2.840576478311383,13.529719292278308,-4.687427015838541,-1.3194302092746284
Uformer,inpainting,256,256,0.9969872417859733,0.010761947428579168,0.9955399698286783,0.9981616728706285,0.005721486872062087,0.01341552675237195,0.00420504945795983,0.0072829018288757645,0.09462227282347158,0.12539020558008154,0.07967907692072913,0.11047353126632516,0.8911657789080667,0.3770056302817801,0.8415219340964631,0.9315484952305928
Uformer,lowlight,256,256,0.8424238598090596,0.2910636623200771,0.8047369324725878,0.8772897382186784,-0.13824184442637488,0.2666654108058167,-0.17293101706090966,-0.10610182555828943,-0.0792988384491764,0.28928001167118067,-0.11563015015708515,-0.043411783306510195,-7.351600998350648,32.68591012161204,-12.044577546952105,-3.8171752456155295
Uformer,noise,256,256,0.9971584160812199,0.004991203641583199,0.9965286263555754,0.9977402384742163,0.006372402887791395,0.02091042213534209,0.004139957163715735,0.009050135494908318,0.028246880508959293,0.04008850607773941,0.023367920925375076,0.03337378005962818,0.7731361942097942,0.724073906476164,0.6739109932083672,0.8484733122159118
Uformer,rain,256,256,0.971078210248379,0.10891538980664228,0.9562739527093072,0.9830542278650682,-0.01789315210771747,0.10523474142699793,-0.032264229922293455,-0.00647137865307742,-0.01931807168875821,0.10368130115904133,-0.033178595744539054,-0.007817889261059465,-31.698649133213472,175.00243157099968,-54.594922988035876,-14.182834853800738
Uformer,snow,256,256,0.8588834059191868,0.3249656208272029,0.8167436142233783,0.8968692236725474,-0.12893227546010166,0.32258571199601693,-0.17108244958362775,-0.09164077870955226,0.2424260512980254,0.5105883031020538,0.18503354598515215,0.3049470202840894,-5.322819662431226,47.32487706036646,-11.950887887977617,-0.7828432836643152
Uformer,average,256,1792,0.927771438952602,0.11507765912768649,0.9130316354514694,0.9412954283865215,-0.05945813871221617,0.10424267946005934,-0.0729180604441873,-0.04713908881515507,0.043908605261874206,0.12141650724778119,0.028139239126377495,0.058949356649119565,-0.08221524064716831,2.9663360693193126,-0.48854571917799244,0.24717498217890216
